Disciplina cursada ou que pretende cursar,Disciplina do curso do aluno (para a qual precisa de equivalência)
"SEP0587 - Princípios de Economia (2 créditos-aula e 2 créditos-trabalho)",SEP0566 - Fundamentos de Economia (2 créditos-aula )
FFI0405 ou FCI0405 - Física Geral I,7600005 - Física I (Mat. )
FCM0101 - Física I,7600005 - Física I (Mat. )
FCM0200 - Física Básica I,7600005 - Física I (Mat. )
FCM0410 - Física A para Eng.Ambiental,7600005 - Física I (Mat. )
FCM0501 - Física I,7600005 - Física I (Mat. )
7600105- Física Básica I,7600005 - Física I (Mat. )
SLC0624 - Fundamentos de Mecânica + SLC0625 - Mecânica,7600005 - Física I (Mat. )
FFI0406 ou FCI0406 - Física Geral II,7600006 - Física II (Mat. )
FCM0102 - Física II,7600006 - Física II (Mat. )
FCM0502 - Física II,7600006 - Física II (Mat. )
FFI0405 ou FCI0405 - Física Geral I,7600105- Física Básica I (BCC)
FCM0101 - Física I,7600105- Física Básica I (BCC)
FCM0200 - Física Básica I,7600105- Física Básica I (BCC)
FCM0410 - Física A para Eng.Ambiental,7600105- Física Básica I (BCC)
FCM0501 - Física I,7600105- Física Básica I (BCC)
7600005 - Física I (Mat. ),7600105- Física Básica I (BCC)
FFI0335 ou FCI0335 - Física III,7600107 - Física III (Mat.)
FCM0412 - Física B para Eng.Ambiental,7600107 - Física III (Mat.)
FFI0425 ou FCI0425 - Psicologia da Educação,7600108 - Psicologia da Educação (Mat.)
SLC0630 - Psicologia da Educação (LCE),7600108 - Psicologia da Educação (Mat.)
FFI0180 ou FCI0180 - Laboratório de Física Geral I,7600109 - Laboratório de Física Geral I (BCC)
FCM0103 - Laboratório de Física I,7600109 - Laboratório de Física Geral I (BCC)
FCM0222 - Laboratório de Física Geral para Químicos,7600109 - Laboratório de Física Geral I (BCC)
FCM0411 - Laboratório de Física A para Eng.Ambiental,7600109 - Laboratório de Física Geral I (BCC)
SCC0221 Introdução à Ciência de Computação I (4-1),SSC0101 Introdução à Ciência de Computação I (4-1)
SSC0501 Introdução à Ciência de Computação I (4-0),SSC0101 Introdução à Ciência de Computação I (4-1)
SSC0600 Introdução à Ciência de Computação I (4-1),SSC0101 Introdução à Ciência de Computação I (4-1)
SCC0504 - Programação Orientada a Objetos (BSI),SSC0103 - Programação Orientada a Objetos (BCC)
SCC0204 - Programação Orientada a Objetos (Mat)(4-2),SSC0103 - Programação Orientada a Objetos (BCC)(4-2)
SCC0604 - Programação Orientada a Objetos (Eng. Comp.)(4-2),SSC0103 - Programação Orientada a Objetos (BCC)(4-2)
SSC0103 - Programação Orientada a Objetos (BCC)(4-2),SSC0103 - Programação Orientada a Objetos (BCC)(4-2)
SSC0571 - Evolução Histórica da Computação e Aplicações (BSI)(2-0),SSC0104 - Evolução Histórica da Computação e Aplicações (BCC)(2-0)
